,forum,title,format,year,authors,institutions,domains,methods,host logs,network traffic,encryption,malicious domains,automation,email security,DNS security,malware,code analysis,SOC operations,compromised host detection,digital forensics,IDS,medical devices,cybersecurity data science,decision analysis,internet scanning,big data,threat intelligence,lateral movement,network entities,IoT,DDoS,ISP security,deception,command and control channels,adversarial learning,labeling,explainability,feature engineering,privacy,unknown,insider threat detection,vulnerability management,dark web,autonomy,red teaming,authentication,account fraud,social media,statistical methodology,cloud computing,social engineering,watering hole attack,security design,audio,attacker-defender dynamics,cryptography,fake news,honeypots,botnets,spam,attribution,passwords,information sharing,deepfakes,facial recognition,AI governance,blockchain,AI safety,ransomware,software tool development,supervised machine learning,none,framework building,visualization,statistics,survey,unsupervised machine learning,measurement,tensor analysis,interviews,dataset creation,generative adversarial networks,graph analysis,user experience,natural language processing,reinforcement learning,participant observation,game theory,modeling,optimization,expert systems,bayesian statistics,ontology building
0,FloCon,SysFlow: Scalable System Telemetry for Improved Security Analytics,Presentation,2020,"Frederico Araujo,Teryl Taylor","IBM,IBM","host logs,network traffic",software tool development,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FloCon,Bayes at 10+ Gbps: Identifying Malicious and Vulnerable Process from Passive Traffic Fingerprinting,Presentation,2020,David McGrew,Cisco,"network traffic, encryption",supervised machine learning,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FloCon,Less is More with Intelligent Packet Capture,Presentation,2020,Randy Caldejon,CounterFlow AI,network traffic,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FloCon,Alchemy: Stochastic Data Augmentation for Malicious Network Traffic Detection,Presentation,2020,Bo Hu,NTT,network traffic,supervised machine learning,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FloCon,"The Long and Winding Road to ""Production Worthy""",Presentation,2020,Emily Heath,MITRE,malicious domains,"supervised machine learning,software tool development",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,FloCon,A Practical Decision Framework for Implementing Evasion-Resilient Host-Based Analytics,Presentation,2020,"Joe Mikhail,Brandon Werner","MITRE,MITRE",host logs,framework building,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,FloCon,A Structural Approach to Modeling Ecrypted Connections,Presentation,2020,Anthony Kasza,Corelight,"network traffic, encryption",visualization,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,FloCon,Automated Reasoning with ATT&CK,Presentation,2020,Jonathan Spring,CMU/SEI,automation,statistics,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,FloCon,Mobile Users' Susceptibility to Phishing Attacks,Presentation,2020,Ley Sylvester,Blackbaud,email security,survey,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,FloCon,How to Use Machine Learning for Phishing Incident Response,Presentation,2020,Erez Harusg,Palo Alto Networks,email security,supervised machine learning,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
